"Name","Location","Function Signature","Function Size"
"runtime.cgoCheckMemmove","00403ff0","undefined runtime.cgoCheckMemmove(int param_1\, uint param_2\, uint param_3\, uint param_4\, uint param_5)","108"
"runtime.cgoCheckSliceCopy","00404060","undefined runtime.cgoCheckSliceCopy(uint * param_1\, uint param_2\, uint param_3\, int param_4)","145"
"runtime.cgoCheckTypedBlock","00404100","undefined runtime.cgoCheckTypedBlock(int param_1\, uint param_2\, uint param_3\, uint param_4)","558"
"runtime.cgoCheckTypedBlock.func1","00404330","undefined runtime.cgoCheckTypedBlock.func1(undefined4 param_1\, int param_2)","64"
"runtime.cgoCheckBits","00404370","undefined runtime.cgoCheckBits(int param_1\, int param_2\, uint param_3\, int param_4)","183"
"runtime.cgoCheckUsingType","00404430","undefined runtime.cgoCheckUsingType(int param_1\, uint param_2\, uint param_3\, uint param_4)","411"
"runtime.makechan","004045d0","undefined runtime.makechan(int param_1\, uint param_2)","462"
"runtime.chansend1","004047a0","undefined runtime.chansend1(uint * param_1\, int * param_2)","40"
"runtime.chansend","004047d0","undefined runtime.chansend(uint * param_1\, int * param_2\, char param_3)","1376"
"runtime.chansend.func1","00404d30","undefined runtime.chansend.func1(undefined4 param_1\, int param_2)","49"
"runtime.send","00404d70","undefined runtime.send(int param_1\, int * param_2\, undefined4 * param_3\, undefined * * param_4\, int param_5)","244"
"runtime.sendDirect","00404e70","undefined runtime.sendDirect(uint * param_1\, int param_2\, undefined4 * param_3)","104"
"runtime.recvDirect","00404ee0","undefined runtime.recvDirect(uint * param_1\, int param_2\, undefined4 * param_3)","104"
"runtime.closechan","00404f50","undefined runtime.closechan(int param_1)","576"
"runtime.empty","00405190","undefined runtime.empty(int param_1)","95"
"runtime.chanrecv1","004051f0","undefined runtime.chanrecv1(int * param_1\, undefined[16] * param_2)","32"
"runtime.chanrecv","00405210","undefined runtime.chanrecv(int * param_1\, undefined[16] * param_2\, char param_3)","1449"
"runtime.chanrecv.func1","004057c0","undefined runtime.chanrecv.func1(undefined4 param_1\, int param_2)","49"
"runtime.recv","00405800","undefined runtime.recv(int param_1\, int * param_2\, undefined4 * param_3\, undefined * * param_4\, int param_5)","356"
"runtime.chanparkcommit","00405970","undefined runtime.chanparkcommit(int param_1\, int * param_2)","77"
